hb;tree_error;alt_error;error_diff
0,063689316;0,18310357;0,159468439;0,023635132
0,063584136;0,183038869;0,158940397;0,024098472
0,063479472;0,182974214;0,158415842;0,024558372
0,063375318;0,182909605;0,157894737;0,025014868
0,06327167;0,182845041;0,157377049;0,025467991
0,063168524;0,182780522;0,156862745;0,025917777
0,063113097;0,183068783;0,156351792;0,026716992
0,063010873;0,183004231;0,159090909;0,023913322
0,062909139;0,182939725;0,158576052;0,024363673
0,062854814;0,183227625;0,158064516;0,025163109
0,062753979;0,183163086;0,15755627;0,025606815
0,062700321;0,183450704;0,157051282;0,026399422
0,062600371;0,183386132;0,156549521;0,026836611
0,062500893;0,183321605;0,156050955;0,027270649
0,06244829;0,183608864;0,158730159;0,024878705
0,062349676;0,183544304;0,158227848;0,025316456
0,062297709;0,183831283;0,157728707;0,026102576
0,062245981;0,18411806;0,157232704;0,026885356
0,062148606;0,18405339;0,156739812;0,027313578
0,062051682;0,183988764;0,15625;0,027738764
0,061955204;0,183924184;0,15576324;0,028160944
0,06185917;0,183859649;0,155279503;0,028580146
0,061763577;0,18379516;0,154798762;0,028996398
0,06166842;0,183730715;0,157407407;0,026323308
0,061619189;0,184016824;0,156923077;0,027093747
0,061570176;0,184302733;0,159509202;0,024793531
0,061476182;0,184238179;0,162079511;0,022158668
0,061382612;0,184173669;0,161585366;0,022588304
0,061289463;0,184109205;0,161094225;0,023014981
0,061196731;0,184044787;0,160606061;0,023438726
0,061104414;0,183980413;0,160120846;0,023859567
0,061012508;0,183916084;0,162650602;0,021265482
0,06092101;0,1838518;0,162162162;0,021689638
0,060829918;0,183787561;0,161676647;0,022110914
0,060739227;0,183723367;0,16119403;0,022529337
0,060648936;0,183659218;0,160714286;0,022944932
0,060559041;0,183595113;0,163204748;0,020390366
0,060469539;0,183531054;0,162721893;0,02080916
0,060380427;0,183467039;0,162241888;0,021225151
0,060291703;0,183403068;0,161764706;0,021638362
0,060203363;0,183339143;0,161290323;0,02204882
0,060115405;0,183275261;0,160818713;0,022456548
0,060027826;0,183211425;0,160349854;0,02286157
0,059940623;0,183147632;0,159883721;0,023263911
0,059853793;0,183083884;0,15942029;0,023663595
0,059767335;0,183020181;0,158959538;0,024060643
0,059681244;0,182956522;0,158501441;0,024455081
0,059595519;0,182892907;0,158045977;0,02484693
0,059510156;0,182829336;0,157593123;0,025236213
0,059425154;0,18276581;0,157142857;0,025622952
0,059340509;0,182702327;0,156695157;0,026007171
0,05925622;0,182638889;0,15625;0,026388889
0,059215927;0,182922596;0,155807365;0,027115231
0,059132284;0,182859126;0,15819209;0,024667035
0,059092441;0,18314256;0,157746479;0,025396081
0,059009435;0,183079057;0,16011236;0,022966697
0,058926772;0,183015598;0,159663866;0,023351732
0,05884445;0,182952183;0,159217877;0,023734306
0,058762467;0,182888812;0,158774373;0,024114439
0,058680819;0,182825485;0,158333333;0,024492151
0,058599505;0,182762201;0,157894737;0,024867465
0,058518523;0,182698962;0,157458564;0,025240398
0,05843787;0,182635766;0,157024793;0,025610973
0,058357543;0,182572614;0,156593407;0,025979208
0,058277541;0,182509506;0,156164384;0,026345122
0,058197862;0,182446441;0,155737705;0,026708736
0,058118502;0,18238342;0,155313351;0,027070068
0,058039461;0,182320442;0,154891304;0,027429138
0,057960735;0,182257508;0,154471545;0,027785963
0,057924886;0,182539683;0,154054054;0,028485628
0,057846733;0,182476716;0,156334232;0,026142484
0,05776889;0,182413793;0,155913978;0,026499815
0,057691355;0,182350913;0,155495979;0,026854935
0,057614125;0,182288077;0,155080214;0,027207863
0,057537198;0,182225284;0,154666667;0,027558618
0,057460573;0,182162534;0,154255319;0,027907215
0,057426372;0,182444062;0,153846154;0,028597908
0,057350293;0,18238128;0,153439153;0,028942127
0,05727451;0,182318541;0,153034301;0,029284241
0,057199021;0,182255846;0,152631579;0,029624267
0,057123823;0,182193194;0,152230971;0,029962222
0,057048915;0,182130584;0,151832461;0,030298123
0,056974296;0,182068018;0,151436031;0,030631987
0,056899962;0,182005495;0,153645833;0,028359661
