hb;tree_error;alt_error;error_diff
0,061449364;0,166964605;0,156146179;0,010818426
0,061347606;0,166904932;0,155629139;0,011275793
0,061246345;0,166845302;0,155115512;0,01172979
0,061145578;0,166785714;0,154605263;0,012180451
0,061045301;0,166726169;0,154098361;0,012627809
0,060945509;0,166666667;0,156862745;0,009803922
0,060846198;0,166607207;0,156351792;0,010255415
0,060747365;0,166547789;0,155844156;0,010703633
0,060649006;0,166488414;0,155339806;0,011148608
0,060551117;0,166429081;0,15483871;0,011590371
0,060453694;0,16636979;0,154340836;0,012028954
0,060356733;0,166310541;0,153846154;0,012464387
0,06026023;0,166251335;0,156549521;0,009701814
0,060164183;0,166192171;0,156050955;0,010141215
0,060120037;0,166488794;0,155555556;0,010933238
0,060076089;0,166785206;0,155063291;0,011721915
0,059981234;0,166725915;0,157728707;0,008997209
0,05988682;0,166666667;0,157232704;0,009433962
0,059843797;0,1669627;0,156739812;0,010222888
0,059750181;0,166903409;0,15625;0,010653409
0,059656997;0,16684416;0,15576324;0,011080921
0,059564241;0,166784954;0,155279503;0,011505451
0,059471909;0,166725789;0,154798762;0,011927028
0,05938;0,166666667;0,154320988;0,012345679
0,059338924;0,16696207;0,153846154;0,013115916
0,059247775;0,166902906;0,156441718;0,010461188
0,059157039;0,166843783;0,155963303;0,01088048
0,059066711;0,166784703;0,155487805;0,011296898
0,059026823;0,167079646;0,155015198;0,012064448
0,058987101;0,167374381;0,154545455;0,012828926
0,058897842;0,167315175;0,15407855;0,013236625
0,05880898;0,167256011;0,156626506;0,010629505
0,058720513;0,167196889;0,156156156;0,011040733
0,058632437;0,167137809;0,155688623;0,011449186
0,058544749;0,167078771;0,155223881;0,01185489
0,058506804;0,167372881;0,154761905;0,012610977
0,058469012;0,167666784;0,154302671;0,013364114
0,058382337;0,167607622;0,153846154;0,013761468
0,05829604;0,167548501;0,15339233;0,01415617
0,058210118;0,167489422;0,152941176;0,014548245
0,058124567;0,167430384;0,152492669;0,014937716
0,058039387;0,167371388;0,152046784;0,015324605
0,058003274;0,167664671;0,151603499;0,016061172
0,057918758;0,167605634;0,151162791;0,016442843
0,057834604;0,167546639;0,150724638;0,016822001
0,057799221;0,16783955;0,150289017;0,017550532
0,057715718;0,167780514;0,149855908;0,017924606
0,057632569;0,167721519;0,149425287;0,018296232
0,057549772;0,167662566;0,148997135;0,018665431
0,057467323;0,167603654;0,148571429;0,019032226
0,057385222;0,167544784;0,148148148;0,019396636
0,057303464;0,167485955;0,147727273;0,019758682
0,057222048;0,167427167;0,147308782;0,020118386
0,057140972;0,167368421;0,146892655;0,020475766
0,057060232;0,167309716;0,146478873;0,020830843
0,056979827;0,167251052;0,146067416;0,021183636
0,056899754;0,167192429;0,145658263;0,021534166
0,056820011;0,167133847;0,145251397;0,021882451
0,056740595;0,167075306;0,144846797;0,02222851
0,056661505;0,167016807;0,144444444;0,022572362
0,056582738;0,166958348;0,144044321;0,022914027
0,056504291;0,16689993;0,143646409;0,023253521
